#    L    TT             EE             TE             PP             TP          
   206    0.00000E+00    0.00000E+00    0.00000E+00    0.39325E-16    0.53654E-19
   207    0.00000E+00    0.00000E+00    0.00000E+00    0.39313E-16    0.29187E-19
   208    0.00000E+00    0.00000E+00    0.00000E+00    0.39299E-16    0.69252E-21
   209    0.00000E+00    0.00000E+00    0.00000E+00    0.39288E-16    0.84026E-20
   210    0.00000E+00    0.00000E+00    0.00000E+00    0.39276E-16    0.41880E-19
   211    0.00000E+00    0.00000E+00    0.00000E+00    0.39264E-16    0.54459E-19
   212    0.00000E+00    0.00000E+00    0.00000E+00    0.39252E-16    0.28645E-19
   213    0.00000E+00    0.00000E+00    0.00000E+00    0.39238E-16   -0.75772E-21
   214    0.00000E+00    0.00000E+00    0.00000E+00    0.39225E-16    0.49845E-20
   215    0.00000E+00    0.00000E+00    0.00000E+00    0.39212E-16    0.38225E-19
   216    0.00000E+00    0.00000E+00    0.00000E+00    0.39199E-16    0.56327E-19
   217    0.00000E+00    0.00000E+00    0.00000E+00    0.39186E-16    0.35013E-19
   218    0.00000E+00    0.00000E+00    0.00000E+00    0.39170E-16   -0.13729E-20
   219    0.00000E+00    0.00000E+00    0.00000E+00    0.39157E-16   -0.65622E-20
   220    0.00000E+00    0.00000E+00    0.00000E+00    0.39144E-16    0.30797E-19
   221    0.00000E+00    0.00000E+00    0.00000E+00    0.39129E-16    0.66495E-19
   222    0.00000E+00    0.00000E+00    0.00000E+00    0.39115E-16    0.51046E-19
   223    0.00000E+00    0.00000E+00    0.00000E+00    0.39099E-16   -0.25664E-20
   224    0.00000E+00    0.00000E+00    0.00000E+00    0.39084E-16   -0.25620E-19
   225    0.00000E+00    0.00000E+00    0.00000E+00    0.39069E-16    0.16957E-19
   226    0.00000E+00    0.00000E+00    0.00000E+00    0.39055E-16    0.72967E-19
   227    0.00000E+00    0.00000E+00    0.00000E+00    0.39039E-16    0.67615E-19
   228    0.00000E+00    0.00000E+00    0.00000E+00    0.39022E-16    0.56544E-20
   229    0.00000E+00    0.00000E+00    0.00000E+00    0.39006E-16   -0.32423E-19
   230    0.00000E+00    0.00000E+00    0.00000E+00    0.38991E-16    0.18124E-20
   231    0.00000E+00    0.00000E+00    0.00000E+00    0.38975E-16    0.61888E-19
