#    L    TT             EE             TE          
   218    0.23308E+03    0.95245E-01    0.27448E+01
   219    0.23280E+03    0.98732E-01    0.28073E+01
   220    0.23248E+03    0.10231E+00    0.28695E+01
   221    0.23214E+03    0.10599E+00    0.29317E+01
   222    0.23176E+03    0.10977E+00    0.29937E+01
   223    0.23137E+03    0.11364E+00    0.30556E+01
   224    0.23094E+03    0.11762E+00    0.31173E+01
   225    0.23050E+03    0.12170E+00    0.31789E+01
   226    0.23003E+03    0.12588E+00    0.32401E+01
   227    0.22955E+03    0.13016E+00    0.33011E+01
   228    0.22903E+03    0.13455E+00    0.33617E+01
   229    0.22850E+03    0.13903E+00    0.34219E+01
   230    0.22795E+03    0.14361E+00    0.34815E+01
   231    0.22737E+03    0.14829E+00    0.35405E+01
   232    0.22677E+03    0.15307E+00    0.35989E+01
   233    0.22614E+03    0.15795E+00    0.36564E+01
   234    0.22549E+03    0.16292E+00    0.37133E+01
   235    0.22480E+03    0.16798E+00    0.37691E+01
   236    0.22411E+03    0.17314E+00    0.38243E+01
   237    0.22338E+03    0.17839E+00    0.38783E+01
   238    0.22263E+03    0.18373E+00    0.39314E+01
   239    0.22185E+03    0.18916E+00    0.39834E+01
   240    0.22105E+03    0.19468E+00    0.40344E+01
   241    0.22022E+03    0.20029E+00    0.40840E+01
   242    0.21937E+03    0.20599E+00    0.41326E+01
   243    0.21848E+03    0.21177E+00    0.41799E+01
   244    0.21758E+03    0.21763E+00    0.42260E+01
   245    0.21665E+03    0.22358E+00    0.42708E+01
   246    0.21570E+03    0.22962E+00    0.43143E+01
   247    0.21472E+03    0.23574E+00    0.43565E+01
   248    0.21373E+03    0.24194E+00    0.43975E+01
   249    0.21272E+03    0.24823E+00    0.44373E+01
   250    0.21169E+03    0.25459E+00    0.44755E+01
   251    0.21065E+03    0.26105E+00    0.45128E+01
   252    0.20959E+03    0.26758E+00    0.45486E+01
   253    0.20853E+03    0.27420E+00    0.45835E+01
   254    0.20745E+03    0.28090E+00    0.46169E+01
   255    0.20637E+03    0.28769E+00    0.46494E+01
   256    0.20528E+03    0.29456E+00    0.46805E+01
   257    0.20419E+03    0.30152E+00    0.47106E+01
   258    0.20310E+03    0.30854E+00    0.47394E+01
   259    0.20200E+03    0.31566E+00    0.47671E+01
   260    0.20090E+03    0.32284E+00    0.47934E+01
   261    0.19979E+03    0.33010E+00    0.48185E+01
   262    0.19868E+03    0.33743E+00    0.48422E+01
   263    0.19757E+03    0.34483E+00    0.48646E+01
   264    0.19645E+03    0.35229E+00    0.48854E+01
   265    0.19533E+03    0.35982E+00    0.49049E+01
   266    0.19420E+03    0.36740E+00    0.49227E+01
   267    0.19306E+03    0.37504E+00    0.49390E+01
   268    0.19192E+03    0.38273E+00    0.49538E+01
   269    0.19077E+03    0.39046E+00    0.49666E+01
   270    0.18962E+03    0.39824E+00    0.49780E+01
   271    0.18845E+03    0.40605E+00    0.49874E+01
   272    0.18729E+03    0.41392E+00    0.49952E+01
   273    0.18611E+03    0.42180E+00    0.50011E+01
   274    0.18493E+03    0.42973E+00    0.50053E+01
   275    0.18375E+03    0.43768E+00    0.50076E+01
   276    0.18256E+03    0.44566E+00    0.50082E+01
   277    0.18137E+03    0.45366E+00    0.50069E+01
   278    0.18017E+03    0.46168E+00    0.50039E+01
   279    0.17898E+03    0.46972E+00    0.49989E+01
   280    0.17778E+03    0.47778E+00    0.49923E+01
   281    0.17658E+03    0.48585E+00    0.49837E+01
   282    0.17539E+03    0.49393E+00    0.49734E+01
   283    0.17419E+03    0.50201E+00    0.49612E+01
   284    0.17300E+03    0.51011E+00    0.49473E+01
   285    0.17181E+03    0.51821E+00    0.49318E+01
   286    0.17062E+03    0.52629E+00    0.49141E+01
   287    0.16944E+03    0.53438E+00    0.48949E+01
   288    0.16826E+03    0.54245E+00    0.48737E+01
   289    0.16708E+03    0.55053E+00    0.48510E+01
   290    0.16591E+03    0.55857E+00    0.48262E+01
   291    0.16475E+03    0.56661E+00    0.48000E+01
   292    0.16360E+03    0.57461E+00    0.47717E+01
   293    0.16245E+03    0.58261E+00    0.47420E+01
   294    0.16131E+03    0.59056E+00    0.47103E+01
   295    0.16018E+03    0.59849E+00    0.46771E+01
   296    0.15906E+03    0.60638E+00    0.46420E+01
   297    0.15795E+03    0.61425E+00    0.46055E+01
   298    0.15685E+03    0.62205E+00    0.45670E+01
   299    0.15576E+03    0.62983E+00    0.45271E+01
   300    0.15468E+03    0.63754E+00    0.44854E+01
   301    0.15361E+03    0.64522E+00    0.44421E+01
   302    0.15255E+03    0.65282E+00    0.43971E+01
   303    0.15151E+03    0.66038E+00    0.43505E+01
   304    0.15047E+03    0.66786E+00    0.43021E+01
   305    0.14945E+03    0.67528E+00    0.42523E+01
   306    0.14844E+03    0.68264E+00    0.42008E+01
   307    0.14744E+03    0.68989E+00    0.41475E+01
   308    0.14646E+03    0.69708E+00    0.40928E+01
   309    0.14548E+03    0.70417E+00    0.40362E+01
   310    0.14452E+03    0.71119E+00    0.39782E+01
   311    0.14357E+03    0.71809E+00    0.39183E+01
   312    0.14264E+03    0.72492E+00    0.38572E+01
   313    0.14172E+03    0.73162E+00    0.37941E+01
   314    0.14081E+03    0.73824E+00    0.37298E+01
   315    0.13991E+03    0.74473E+00    0.36637E+01
   316    0.13904E+03    0.75114E+00    0.35963E+01
   317    0.13817E+03    0.75740E+00    0.35273E+01
   318    0.13732E+03    0.76357E+00    0.34570E+01
   319    0.13649E+03    0.76960E+00    0.33852E+01
   320    0.13567E+03    0.77552E+00    0.33122E+01
   321    0.13488E+03    0.78131E+00    0.32378E+01
   322    0.13410E+03    0.78698E+00    0.31622E+01
   323    0.13333E+03    0.79250E+00    0.30853E+01
   324    0.13259E+03    0.79790E+00    0.30073E+01
   325    0.13187E+03    0.80318E+00    0.29283E+01
   326    0.13117E+03    0.80829E+00    0.28480E+01
   327    0.13049E+03    0.81329E+00    0.27669E+01
   328    0.12983E+03    0.81811E+00    0.26846E+01
   329    0.12919E+03    0.82282E+00    0.26016E+01
   330    0.12857E+03    0.82735E+00    0.25175E+01
   331    0.12798E+03    0.83177E+00    0.24328E+01
   332    0.12740E+03    0.83600E+00    0.23471E+01
   333    0.12685E+03    0.84010E+00    0.22607E+01
   334    0.12632E+03    0.84402E+00    0.21735E+01
   335    0.12582E+03    0.84781E+00    0.20858E+01
   336    0.12533E+03    0.85141E+00    0.19972E+01
   337    0.12487E+03    0.85487E+00    0.19082E+01
   338    0.12443E+03    0.85815E+00    0.18185E+01
   339    0.12402E+03    0.86128E+00    0.17284E+01
   340    0.12363E+03    0.86421E+00    0.16376E+01
   341    0.12326E+03    0.86700E+00    0.15466E+01
   342    0.12292E+03    0.86960E+00    0.14549E+01
   343    0.12259E+03    0.87204E+00    0.13631E+01
   344    0.12230E+03    0.87429E+00    0.12708E+01
   345    0.12202E+03    0.87637E+00    0.11782E+01
   346    0.12177E+03    0.87829E+00    0.10855E+01
   347    0.12154E+03    0.88000E+00    0.99239E+00
   348    0.12134E+03    0.88156E+00    0.89927E+00
   349    0.12115E+03    0.88290E+00    0.80588E+00
   350    0.12100E+03    0.88409E+00    0.71255E+00
   351    0.12086E+03    0.88507E+00    0.61905E+00
   352    0.12075E+03    0.88590E+00    0.52570E+00
   353    0.12066E+03    0.88651E+00    0.43228E+00
   354    0.12060E+03    0.88697E+00    0.33907E+00
   355    0.12056E+03    0.88721E+00    0.24590E+00
   356    0.12054E+03    0.88730E+00    0.15303E+00
   357    0.12054E+03    0.88718E+00    0.60285E-01
   358    0.12057E+03    0.88690E+00   -0.32071E-01
   359    0.12062E+03    0.88641E+00   -0.12419E+00
   360    0.12069E+03    0.88576E+00   -0.21586E+00
   361    0.12079E+03    0.88490E+00   -0.30718E+00
   362    0.12091E+03    0.88388E+00   -0.39798E+00
   363    0.12105E+03    0.88266E+00   -0.48833E+00
   364    0.12122E+03    0.88128E+00   -0.57809E+00
   365    0.12140E+03    0.87970E+00   -0.66729E+00
   366    0.12161E+03    0.87795E+00   -0.75582E+00
   367    0.12184E+03    0.87604E+00   -0.84366E+00
   368    0.12209E+03    0.87392E+00   -0.93085E+00
   369    0.12236E+03    0.87165E+00   -0.10172E+01
   370    0.12266E+03    0.86918E+00   -0.11028E+01
   371    0.12297E+03    0.86656E+00   -0.11876E+01
   372    0.12331E+03    0.86374E+00   -0.12715E+01
