#    L    TT             EE             TE          
   345    0.15660E+03    0.17048E+01    0.33647E+01
   346    0.15541E+03    0.17039E+01    0.31705E+01
   347    0.15427E+03    0.17025E+01    0.29765E+01
   348    0.15319E+03    0.17009E+01    0.27835E+01
   349    0.15216E+03    0.16988E+01    0.25909E+01
   350    0.15118E+03    0.16965E+01    0.23994E+01
   351    0.15026E+03    0.16937E+01    0.22084E+01
   352    0.14939E+03    0.16907E+01    0.20188E+01
   353    0.14857E+03    0.16872E+01    0.18299E+01
   354    0.14780E+03    0.16834E+01    0.16423E+01
   355    0.14708E+03    0.16792E+01    0.14558E+01
   356    0.14642E+03    0.16748E+01    0.12708E+01
   357    0.14580E+03    0.16699E+01    0.10869E+01
   358    0.14524E+03    0.16648E+01    0.90470E+00
   359    0.14472E+03    0.16592E+01    0.72383E+00
   360    0.14425E+03    0.16534E+01    0.54474E+00
   361    0.14383E+03    0.16472E+01    0.36717E+00
   362    0.14346E+03    0.16407E+01    0.19150E+00
   363    0.14313E+03    0.16339E+01    0.17514E-01
   364    0.14285E+03    0.16268E+01   -0.15447E+00
   365    0.14261E+03    0.16193E+01   -0.32456E+00
   366    0.14242E+03    0.16115E+01   -0.49255E+00
   367    0.14227E+03    0.16035E+01   -0.65841E+00
   368    0.14217E+03    0.15950E+01   -0.82223E+00
   369    0.14211E+03    0.15864E+01   -0.98372E+00
   370    0.14209E+03    0.15774E+01   -0.11430E+01
   371    0.14211E+03    0.15681E+01   -0.12999E+01
   372    0.14217E+03    0.15585E+01   -0.14544E+01
   373    0.14227E+03    0.15487E+01   -0.16064E+01
   374    0.14241E+03    0.15386E+01   -0.17560E+01
   375    0.14259E+03    0.15282E+01   -0.19029E+01
   376    0.14281E+03    0.15176E+01   -0.20473E+01
   377    0.14306E+03    0.15067E+01   -0.21889E+01
   378    0.14335E+03    0.14955E+01   -0.23279E+01
   379    0.14367E+03    0.14842E+01   -0.24640E+01
   380    0.14403E+03    0.14725E+01   -0.25974E+01
   381    0.14442E+03    0.14607E+01   -0.27279E+01
   382    0.14484E+03    0.14486E+01   -0.28555E+01
   383    0.14529E+03    0.14363E+01   -0.29802E+01
   384    0.14578E+03    0.14238E+01   -0.31018E+01
   385    0.14629E+03    0.14111E+01   -0.32205E+01
   386    0.14684E+03    0.13982E+01   -0.33360E+01
   387    0.14741E+03    0.13851E+01   -0.34485E+01
   388    0.14801E+03    0.13718E+01   -0.35579E+01
   389    0.14864E+03    0.13584E+01   -0.36641E+01
   390    0.14929E+03    0.13448E+01   -0.37671E+01
   391    0.14997E+03    0.13309E+01   -0.38668E+01
   392    0.15067E+03    0.13171E+01   -0.39634E+01
   393    0.15140E+03    0.13029E+01   -0.40566E+01
   394    0.15215E+03    0.12888E+01   -0.41466E+01
   395    0.15292E+03    0.12744E+01   -0.42332E+01
   396    0.15371E+03    0.12600E+01   -0.43166E+01
   397    0.15452E+03    0.12454E+01   -0.43965E+01
   398    0.15534E+03    0.12308E+01   -0.44731E+01
   399    0.15619E+03    0.12160E+01   -0.45463E+01
   400    0.15706E+03    0.12012E+01   -0.46161E+01
   401    0.15794E+03    0.11862E+01   -0.46825E+01
   402    0.15883E+03    0.11713E+01   -0.47455E+01
   403    0.15974E+03    0.11562E+01   -0.48050E+01
   404    0.16067E+03    0.11411E+01   -0.48612E+01
   405    0.16161E+03    0.11260E+01   -0.49138E+01
   406    0.16256E+03    0.11108E+01   -0.49632E+01
   407    0.16352E+03    0.10956E+01   -0.50089E+01
   408    0.16449E+03    0.10805E+01   -0.50514E+01
   409    0.16547E+03    0.10652E+01   -0.50903E+01
   410    0.16646E+03    0.10500E+01   -0.51260E+01
   411    0.16746E+03    0.10348E+01   -0.51581E+01
   412    0.16847E+03    0.10197E+01   -0.51869E+01
   413    0.16948E+03    0.10045E+01   -0.52122E+01
   414    0.17050E+03    0.98946E+00   -0.52343E+01
   415    0.17152E+03    0.97443E+00   -0.52530E+01
   416    0.17255E+03    0.95943E+00   -0.52682E+01
   417    0.17358E+03    0.94453E+00   -0.52803E+01
   418    0.17462E+03    0.92967E+00   -0.52888E+01
   419    0.17565E+03    0.91493E+00   -0.52943E+01
   420    0.17669E+03    0.90025E+00   -0.52964E+01
