#    L    TT             EE             TE          
   422    0.16550E+04    0.19891E+02   -0.36531E+02
   423    0.16583E+04    0.19792E+02   -0.38024E+02
   424    0.16620E+04    0.19689E+02   -0.39492E+02
   425    0.16660E+04    0.19584E+02   -0.40937E+02
   426    0.16703E+04    0.19475E+02   -0.42356E+02
   427    0.16749E+04    0.19364E+02   -0.43750E+02
   428    0.16797E+04    0.19248E+02   -0.45118E+02
   429    0.16848E+04    0.19131E+02   -0.46459E+02
   430    0.16902E+04    0.19010E+02   -0.47773E+02
   431    0.16959E+04    0.18886E+02   -0.49059E+02
   432    0.17018E+04    0.18760E+02   -0.50317E+02
   433    0.17080E+04    0.18631E+02   -0.51548E+02
   434    0.17144E+04    0.18498E+02   -0.52748E+02
   435    0.17210E+04    0.18364E+02   -0.53920E+02
   436    0.17279E+04    0.18227E+02   -0.55062E+02
   437    0.17350E+04    0.18087E+02   -0.56174E+02
   438    0.17424E+04    0.17945E+02   -0.57255E+02
   439    0.17499E+04    0.17801E+02   -0.58306E+02
   440    0.17576E+04    0.17655E+02   -0.59326E+02
   441    0.17656E+04    0.17505E+02   -0.60314E+02
   442    0.17737E+04    0.17355E+02   -0.61270E+02
   443    0.17820E+04    0.17201E+02   -0.62194E+02
   444    0.17905E+04    0.17047E+02   -0.63086E+02
   445    0.17992E+04    0.16889E+02   -0.63944E+02
   446    0.18080E+04    0.16731E+02   -0.64770E+02
   447    0.18170E+04    0.16570E+02   -0.65562E+02
   448    0.18262E+04    0.16408E+02   -0.66322E+02
   449    0.18354E+04    0.16245E+02   -0.67047E+02
   450    0.18449E+04    0.16080E+02   -0.67740E+02
   451    0.18544E+04    0.15913E+02   -0.68397E+02
   452    0.18641E+04    0.15745E+02   -0.69021E+02
   453    0.18739E+04    0.15576E+02   -0.69610E+02
   454    0.18838E+04    0.15406E+02   -0.70166E+02
   455    0.18938E+04    0.15235E+02   -0.70685E+02
   456    0.19039E+04    0.15063E+02   -0.71172E+02
   457    0.19141E+04    0.14889E+02   -0.71622E+02
   458    0.19243E+04    0.14716E+02   -0.72040E+02
   459    0.19347E+04    0.14541E+02   -0.72421E+02
   460    0.19451E+04    0.14366E+02   -0.72768E+02
   461    0.19556E+04    0.14191E+02   -0.73079E+02
   462    0.19661E+04    0.14015E+02   -0.73357E+02
   463    0.19767E+04    0.13839E+02   -0.73599E+02
   464    0.19873E+04    0.13663E+02   -0.73807E+02
   465    0.19979E+04    0.13486E+02   -0.73981E+02
   466    0.20086E+04    0.13310E+02   -0.74118E+02
   467    0.20193E+04    0.13134E+02   -0.74223E+02
   468    0.20300E+04    0.12957E+02   -0.74291E+02
   469    0.20407E+04    0.12781E+02   -0.74327E+02
   470    0.20514E+04    0.12606E+02   -0.74326E+02
   471    0.20622E+04    0.12431E+02   -0.74294E+02
   472    0.20729E+04    0.12256E+02   -0.74225E+02
   473    0.20835E+04    0.12083E+02   -0.74125E+02
   474    0.20942E+04    0.11910E+02   -0.73990E+02
   475    0.21048E+04    0.11738E+02   -0.73823E+02
   476    0.21154E+04    0.11566E+02   -0.73621E+02
   477    0.21260E+04    0.11396E+02   -0.73388E+02
   478    0.21364E+04    0.11227E+02   -0.73121E+02
   479    0.21469E+04    0.11060E+02   -0.72824E+02
   480    0.21573E+04    0.10894E+02   -0.72492E+02
   481    0.21676E+04    0.10729E+02   -0.72131E+02
   482    0.21778E+04    0.10566E+02   -0.71737E+02
   483    0.21880E+04    0.10404E+02   -0.71313E+02
   484    0.21981E+04    0.10244E+02   -0.70857E+02
   485    0.22080E+04    0.10086E+02   -0.70373E+02
   486    0.22179E+04    0.99303E+01   -0.69856E+02
   487    0.22277E+04    0.97764E+01   -0.69312E+02
   488    0.22374E+04    0.96245E+01   -0.68737E+02
   489    0.22470E+04    0.94750E+01   -0.68135E+02
   490    0.22564E+04    0.93276E+01   -0.67504E+02
   491    0.22658E+04    0.91828E+01   -0.66845E+02
   492    0.22750E+04    0.90405E+01   -0.66160E+02
   493    0.22841E+04    0.89006E+01   -0.65446E+02
   494    0.22930E+04    0.87636E+01   -0.64707E+02
   495    0.23018E+04    0.86291E+01   -0.63941E+02
   496    0.23105E+04    0.84977E+01   -0.63151E+02
   497    0.23190E+04    0.83690E+01   -0.62334E+02
   498    0.23274E+04    0.82435E+01   -0.61495E+02
   499    0.23356E+04    0.81209E+01   -0.60630E+02
   500    0.23436E+04    0.80017E+01   -0.59743E+02
   501    0.23515E+04    0.78857E+01   -0.58832E+02
   502    0.23592E+04    0.77731E+01   -0.57901E+02
   503    0.23667E+04    0.76638E+01   -0.56946E+02
   504    0.23741E+04    0.75581E+01   -0.55972E+02
   505    0.23813E+04    0.74559E+01   -0.54976E+02
   506    0.23883E+04    0.73574E+01   -0.53961E+02
   507    0.23950E+04    0.72626E+01   -0.52926E+02
