#    L    TT             EE             TE          
   340    0.18007E+04    0.83079E+01    0.44855E+02
   341    0.17916E+04    0.84132E+01    0.44414E+02
   342    0.17825E+04    0.85179E+01    0.43954E+02
   343    0.17735E+04    0.86224E+01    0.43478E+02
   344    0.17646E+04    0.87263E+01    0.42982E+02
   345    0.17558E+04    0.88299E+01    0.42470E+02
   346    0.17470E+04    0.89331E+01    0.41941E+02
   347    0.17383E+04    0.90354E+01    0.41392E+02
   348    0.17298E+04    0.91374E+01    0.40829E+02
   349    0.17213E+04    0.92385E+01    0.40246E+02
   350    0.17129E+04    0.93392E+01    0.39648E+02
   351    0.17047E+04    0.94389E+01    0.39031E+02
   352    0.16965E+04    0.95382E+01    0.38400E+02
   353    0.16885E+04    0.96364E+01    0.37750E+02
   354    0.16806E+04    0.97340E+01    0.37087E+02
   355    0.16727E+04    0.98305E+01    0.36404E+02
   356    0.16651E+04    0.99264E+01    0.35709E+02
   357    0.16575E+04    0.10021E+02    0.34995E+02
   358    0.16501E+04    0.10115E+02    0.34268E+02
   359    0.16428E+04    0.10208E+02    0.33524E+02
   360    0.16357E+04    0.10299E+02    0.32767E+02
   361    0.16287E+04    0.10390E+02    0.31994E+02
   362    0.16219E+04    0.10479E+02    0.31208E+02
   363    0.16152E+04    0.10567E+02    0.30405E+02
   364    0.16086E+04    0.10654E+02    0.29591E+02
   365    0.16022E+04    0.10740E+02    0.28762E+02
   366    0.15960E+04    0.10825E+02    0.27920E+02
   367    0.15900E+04    0.10908E+02    0.27067E+02
   368    0.15841E+04    0.10989E+02    0.26198E+02
   369    0.15784E+04    0.11070E+02    0.25319E+02
   370    0.15728E+04    0.11148E+02    0.24425E+02
   371    0.15674E+04    0.11226E+02    0.23523E+02
   372    0.15622E+04    0.11301E+02    0.22606E+02
   373    0.15572E+04    0.11376E+02    0.21681E+02
   374    0.15524E+04    0.11448E+02    0.20742E+02
   375    0.15477E+04    0.11520E+02    0.19796E+02
   376    0.15432E+04    0.11589E+02    0.18837E+02
   377    0.15390E+04    0.11657E+02    0.17871E+02
   378    0.15349E+04    0.11722E+02    0.16893E+02
   379    0.15310E+04    0.11787E+02    0.15908E+02
   380    0.15273E+04    0.11849E+02    0.14913E+02
   381    0.15238E+04    0.11909E+02    0.13912E+02
   382    0.15205E+04    0.11968E+02    0.12901E+02
   383    0.15174E+04    0.12025E+02    0.11885E+02
   384    0.15145E+04    0.12080E+02    0.10860E+02
   385    0.15119E+04    0.12133E+02    0.98293E+01
   386    0.15094E+04    0.12184E+02    0.87915E+01
   387    0.15071E+04    0.12233E+02    0.77494E+01
   388    0.15050E+04    0.12280E+02    0.67006E+01
   389    0.15032E+04    0.12325E+02    0.56483E+01
   390    0.15015E+04    0.12368E+02    0.45915E+01
   391    0.15001E+04    0.12408E+02    0.35292E+01
   392    0.14989E+04    0.12447E+02    0.24649E+01
   393    0.14979E+04    0.12484E+02    0.13959E+01
   394    0.14971E+04    0.12518E+02    0.32579E+00
   395    0.14965E+04    0.12550E+02   -0.74809E+00
   396    0.14961E+04    0.12581E+02   -0.18224E+01
   397    0.14960E+04    0.12608E+02   -0.28993E+01
   398    0.14960E+04    0.12634E+02   -0.39759E+01
   399    0.14963E+04    0.12657E+02   -0.50541E+01
   400    0.14968E+04    0.12679E+02   -0.61312E+01
   401    0.14975E+04    0.12697E+02   -0.72090E+01
   402    0.14984E+04    0.12714E+02   -0.82847E+01
   403    0.14996E+04    0.12729E+02   -0.93600E+01
   404    0.15009E+04    0.12741E+02   -0.10433E+02
   405    0.15025E+04    0.12751E+02   -0.11504E+02
   406    0.15043E+04    0.12758E+02   -0.12571E+02
   407    0.15062E+04    0.12763E+02   -0.13636E+02
   408    0.15085E+04    0.12767E+02   -0.14697E+02
   409    0.15109E+04    0.12767E+02   -0.15754E+02
   410    0.15135E+04    0.12766E+02   -0.16806E+02
   411    0.15163E+04    0.12761E+02   -0.17854E+02
   412    0.15194E+04    0.12755E+02   -0.18895E+02
   413    0.15226E+04    0.12747E+02   -0.19931E+02
   414    0.15261E+04    0.12736E+02   -0.20960E+02
   415    0.15297E+04    0.12723E+02   -0.21982E+02
   416    0.15336E+04    0.12707E+02   -0.22997E+02
   417    0.15376E+04    0.12690E+02   -0.24005E+02
   418    0.15419E+04    0.12670E+02   -0.25004E+02
   419    0.15464E+04    0.12648E+02   -0.25994E+02
   420    0.15510E+04    0.12623E+02   -0.26975E+02
   421    0.15559E+04    0.12596E+02   -0.27947E+02
   422    0.15609E+04    0.12567E+02   -0.28909E+02
   423    0.15661E+04    0.12536E+02   -0.29860E+02
   424    0.15715E+04    0.12503E+02   -0.30800E+02
   425    0.15771E+04    0.12467E+02   -0.31729E+02
   426    0.15829E+04    0.12429E+02   -0.32647E+02
   427    0.15889E+04    0.12390E+02   -0.33552E+02
   428    0.15950E+04    0.12348E+02   -0.34445E+02
   429    0.16013E+04    0.12304E+02   -0.35325E+02
   430    0.16078E+04    0.12257E+02   -0.36191E+02
   431    0.16145E+04    0.12210E+02   -0.37044E+02
   432    0.16213E+04    0.12159E+02   -0.37883E+02
   433    0.16283E+04    0.12107E+02   -0.38708E+02
   434    0.16354E+04    0.12053E+02   -0.39517E+02
   435    0.16427E+04    0.11997E+02   -0.40311E+02
   436    0.16502E+04    0.11939E+02   -0.41090E+02
   437    0.16578E+04    0.11879E+02   -0.41853E+02
   438    0.16656E+04    0.11818E+02   -0.42599E+02
   439    0.16735E+04    0.11755E+02   -0.43330E+02
   440    0.16815E+04    0.11690E+02   -0.44043E+02
   441    0.16897E+04    0.11623E+02   -0.44738E+02
   442    0.16980E+04    0.11554E+02   -0.45417E+02
   443    0.17065E+04    0.11484E+02   -0.46077E+02
   444    0.17150E+04    0.11413E+02   -0.46719E+02
   445    0.17237E+04    0.11339E+02   -0.47342E+02
   446    0.17326E+04    0.11265E+02   -0.47948E+02
   447    0.17415E+04    0.11188E+02   -0.48533E+02
   448    0.17505E+04    0.11111E+02   -0.49100E+02
   449    0.17597E+04    0.11032E+02   -0.49646E+02
   450    0.17689E+04    0.10952E+02   -0.50174E+02
   451    0.17783E+04    0.10870E+02   -0.50680E+02
   452    0.17878E+04    0.10787E+02   -0.51167E+02
   453    0.17973E+04    0.10703E+02   -0.51633E+02
   454    0.18070E+04    0.10618E+02   -0.52079E+02
   455    0.18167E+04    0.10532E+02   -0.52503E+02
   456    0.18265E+04    0.10445E+02   -0.52907E+02
   457    0.18364E+04    0.10357E+02   -0.53288E+02
   458    0.18463E+04    0.10269E+02   -0.53649E+02
   459    0.18563E+04    0.10179E+02   -0.53988E+02
   460    0.18664E+04    0.10089E+02   -0.54305E+02
   461    0.18766E+04    0.99976E+01   -0.54600E+02
   462    0.18868E+04    0.99060E+01   -0.54874E+02
   463    0.18970E+04    0.98137E+01   -0.55124E+02
   464    0.19073E+04    0.97210E+01   -0.55354E+02
   465    0.19176E+04    0.96280E+01   -0.55561E+02
   466    0.19280E+04    0.95342E+01   -0.55744E+02
   467    0.19384E+04    0.94405E+01   -0.55906E+02
   468    0.19489E+04    0.93462E+01   -0.56044E+02
   469    0.19593E+04    0.92520E+01   -0.56161E+02
   470    0.19698E+04    0.91574E+01   -0.56254E+02
   471    0.19803E+04    0.90631E+01   -0.56325E+02
   472    0.19908E+04    0.89685E+01   -0.56373E+02
   473    0.20013E+04    0.88742E+01   -0.56399E+02
   474    0.20119E+04    0.87799E+01   -0.56401E+02
   475    0.20224E+04    0.86860E+01   -0.56382E+02
   476    0.20329E+04    0.85922E+01   -0.56338E+02
   477    0.20434E+04    0.84990E+01   -0.56274E+02
   478    0.20539E+04    0.84060E+01   -0.56185E+02
   479    0.20644E+04    0.83138E+01   -0.56076E+02
   480    0.20748E+04    0.82219E+01   -0.55942E+02
   481    0.20852E+04    0.81309E+01   -0.55788E+02
   482    0.20956E+04    0.80405E+01   -0.55610E+02
   483    0.21060E+04    0.79510E+01   -0.55411E+02
   484    0.21163E+04    0.78622E+01   -0.55189E+02
   485    0.21266E+04    0.77746E+01   -0.54946E+02
   486    0.21368E+04    0.76878E+01   -0.54681E+02
   487    0.21470E+04    0.76023E+01   -0.54395E+02
   488    0.21571E+04    0.75178E+01   -0.54086E+02
   489    0.21671E+04    0.74347E+01   -0.53758E+02
   490    0.21771E+04    0.73527E+01   -0.53407E+02
